"","Name","win"
"1","琳妲",0.451612903225806
"2","苡萱",0.451612903225806
"3","嘎琳",0.441176470588235
"4","小紫",0.470588235294118
"5","阿布舞",0.529411764705882
"6","宋宋",0.432432432432432
"7","筠熹",0.459459459459459
"8","儷軒",0.35
"9","語芯",0.4
"10","卉妮",0.470588235294118
"11","陳伊",0.45
"12","穎樂",0.583333333333333
"13","孟潔",0.3125
"14","Yuri",0.4
"15","熊霓",0.451612903225806
"16","Kira",0.5
"17","菲菲",0.583333333333333
"18","心韻",0.482758620689655
"19","雅涵",0.357142857142857
"20","慧慧",0.578947368421053
"21","若潼",0.5
"22","李昀",0.44
"23","禹菡",0.37037037037037
"24","凱莉絲",0.457142857142857
"25","籃籃",0.428571428571429
"26","十元",0.421052631578947
"27","岱縈",0.454545454545455
"28","曲曲",0.451612903225806
"29","李多慧",0.291666666666667
"30","芷軒",0.428571428571429
"31","凱伊",0.523809523809524
"32","林襄",0.166666666666667
"33","溫妮",0.388888888888889
